eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn	mn	th	ms	id	hi	fa	ne	ur	tr	he	ar	de	es	it	pt	ru	pl
fervora	earnest, eager, fervent, impassioned	열성적인, 열의있는	sérieux, avide, fervent, passionné	熱心な、熱の	热切的、热心的、热情的、热情的	熱切的、熱心的、熱情的、熱情的	nghiêm túc, nhiệt tình, nhiệt tình, sôi nổi	чин сэтгэлтэй, хүсэл тэмүүлэлтэй, халуун сэтгэлтэй, хүсэл тэмүүлэлтэй	จริงจัง, กระตือรือร้น, เร่าร้อน, เร่าร้อน	bersungguh-sungguh, bersemangat, bersemangat, berapi-api	sungguh-sungguh, bersemangat, sungguh-sungguh, berapi-api	ईमानदार, उत्सुक, उत्साही, भावहीन	جدی، مشتاق، پرشور، پرشور	ईमानदार, उत्सुक, उत्कट, भावुक	پرجوش، بے تاب، پرجوش، پرجوش	ciddi, istekli, ateşli, tutkulu	רציני, להוט, נלהב, נלהב	جدي، حريص، متحمس، عاطفي	ernst, eifrig, inbrünstig, leidenschaftlich	serio, ansioso, ferviente, apasionado	serio, desideroso, fervente, appassionato	sério, ansioso, fervoroso, apaixonado	серьезный, нетерпеливый, пылкий, страстный	żarliwy, gorliwy, żarliwy, pełen pasji
diablo	a devil	악마	Un diable	悪魔	一个魔鬼	一個魔鬼	một con quỷ	чөтгөр	ปีศาจ	syaitan	setan	एक शैतान	یک شیطان	एक शैतान	ایک شیطان	bir şeytan	שטן	شيطان	ein Teufel	un diablo	un diavolo	um demônio	дьявол	diabeł
densa	dense, thick, concentrated	밀집한, 농도가 짙은	dense, épais, concentré	密集した、濃い濃い	稠密的，浓密的，浓缩的	稠密的，濃密的，濃縮的	dày đặc, dày đặc, tập trung	өтгөн, өтгөн, төвлөрсөн	หนาแน่น, เข้มข้น, เข้มข้น	padat, tebal, pekat	padat, kental, pekat	घना, घना, सघन	متراکم، ضخیم، متمرکز	घना, बाक्लो, केन्द्रित	گھنا، موٹا، مرتکز	yoğun, kalın, konsantre	צפוף, עבה, מרוכז	كثيفة، سميكة، مركزة	dicht, dick, konzentriert	denso, espeso, concentrado	denso, denso, concentrato	denso, espesso, concentrado	плотный, густой, концентрированный	gęsty, gęsty, skoncentrowany
stranga	strange, odd, peculiar	이상한	étrange, étrange, particulier	奇妙な	奇怪的，奇怪的，奇特的	奇怪的，奇怪的，奇特的	kỳ lạ, kỳ lạ, đặc biệt	хачин, хачин, өвөрмөц	แปลก, แปลก, แปลกประหลาด	pelik, ganjil, pelik	aneh, aneh, aneh	अजीब, अजीब, अनोखा	عجیب، غریب، عجیب و غریب	अनौठो, अनौठो, विचित्र	عجیب، عجیب، عجیب	tuhaf, tuhaf, tuhaf	מוזר, מוזר, מוזר	غريب، غريب، غريب	seltsam, seltsam, eigenartig	extraño, extraño, peculiar	strano, strano, peculiare	estranho, estranho, peculiar	странный, странный, своеобразный	dziwne, dziwne, osobliwe
savi	to save, to rescue	구출하다, 구원하다, 간직해 두다	sauver, sauver	救う、救う、大事にしておく	拯救，拯救	拯救，拯救	để cứu, để giải cứu	аврах, аврах	เพื่อบันทึกเพื่อช่วยเหลือ	untuk menyelamatkan, untuk menyelamatkan	untuk menyelamatkan, untuk menyelamatkan	बचाना, बचाव करना	نجات دادن، نجات دادن	बचाउन, बचाउन	بچانے کے لیے، بچانے کے لیے	kurtarmak, kurtarmak	להציל, להציל	لإنقاذ، لإنقاذ	retten, retten	salvar, rescatar	salvare, salvare	salvar, resgatar	спасти, спасти	ratować, ratować
vico	turn, a turn (in a sequence)	차례, 순번, 순서	tour, un tour (dans une séquence)	順番、順番、順番	转动，转动（按顺序）	轉動，轉動（依序）	rẽ, rẽ (theo một trình tự)	эргэлт, эргэлт (дараалсан байдлаар)	เลี้ยว, เลี้ยว (ตามลำดับ)	pusing, pusingan (dalam urutan)	belokan, belokan (secara berurutan)	मोड़, एक मोड़ (क्रम में)	چرخش، چرخش (در یک دنباله)	पालो, पालो (क्रममा)	موڑ، ایک موڑ (ایک ترتیب میں)	dönüş, dönüş (sırayla)	סיבוב, סיבוב (ברצף)	بدوره، بدوره (في تسلسل)	drehen, eine Wendung (in einer Reihenfolge)	giro, un giro (en una secuencia)	turno, un turno (in sequenza)	turno, um turno (em uma sequência)	поворот, поворот (в последовательности)	zakręt, zakręt (w sekwencji)
kilometro	a kilometer	킬로미터	un kilomètre	キロメートル	一公里	一公里	một cây số	километр	หนึ่งกิโลเมตร	satu kilometer	satu kilometer	एक किलोमीटर	یک کیلومتر	एक किलोमिटर	ایک کلومیٹر	bir kilometre	קילומטר	كيلومتر	ein Kilometer	un kilómetro	un chilometro	um quilômetro	километр	kilometr
puni	to punish	벌하다, 징벌하다	punir	罰する、罰する	为了惩罚	為了懲罰	Trừng phạt	шийтгэх	ลงโทษ	untuk menghukum	untuk menghukum	दंड देना	مجازات کردن	सजाय दिनु	سزا دینا	cezalandırmak	להעניש	لمعاقبة	bestrafen	para castigar	punire	punir	наказать	karać
prunto	a loan	빌려줌, 꾸어줌, 대여	un prêt	借りる、飾る、レンタル	贷款	貸款	một khoản vay	зээл	เงินกู้	hutang	pinjaman	एक ऋण	یک وام	एक ऋण	ایک قرض	Bir kredi	הלוואה	قرض	ein Darlehen	un préstamo	un prestito	um emprestimo	заем	Pożyczka
planto	plant, a plant	식물	plante, une plante	植物	植物，一株植物	植物，一株植物	cây, một cái cây	ургамал, ургамал	พืช, พืช	tumbuhan, tumbuhan	tanaman, tanaman	पौधा, एक पौधा	گیاه، گیاه	बिरुवा, बिरुवा	پودا، ایک پودا	bitki, bitki	צמח, צמח	نبات، نبات	Pflanze, eine Pflanze	planta, una planta	pianta, una pianta	planta, uma planta	растение, растение	roślina, roślina
praktiko	practice, a practice	실천, 시행	pratique, une pratique	実践、施行	练习，练习	練習，練習	thực hành, thực hành	дадлага, дадлага	การปฏิบัติ, การปฏิบัติ	amalan, amalan	latihan, latihan	अभ्यास, एक अभ्यास	تمرین، تمرین	अभ्यास, अभ्यास	مشق، ایک مشق	alıştırma, alıştırma	תרגול, תרגול	ممارسة، ممارسة	üben, eine Praxis	práctica, una práctica	pratica, una pratica	prática, uma prática	практика, практика	praktyka, praktyka
kune	together	함께	ensemble	一緒に	一起	一起	cùng nhau	хамтдаа	ด้วยกัน	bersama-sama	bersama	एक साथ	با یکدیگر	सँगै	ایک ساتھ	birlikte	יַחַד	معاً	zusammen	juntos	insieme	junto	вместе	razem
temperaturo	temperature	기온, 체온	température	気温、体温	温度	溫度	nhiệt độ	температур	อุณหภูมิ	suhu	suhu	तापमान	درجه حرارت	तापमान	درجہ حرارت	sıcaklık	טֶמפֶּרָטוּרָה	درجة حرارة	Temperatur	temperatura	temperatura	temperatura	температура	temperatura
nepo	a grandson	손자	un petit-fils	孫	一个孙子	一個孫子	cháu trai	ач хүү	หลานชาย	seorang cucu	seorang cucu	एक पोता	یک نوه	एक नाति	ایک پوتا	bir torun	נכד	حفيد	ein Enkel	un nieto	un nipote	um neto	внук	wnuk
kunveni	to convene, to gather, to meet	모이다, 회동하다, 회합하다	convoquer, se rassembler, se rencontrer	集まる、会う、会う	召集、聚集、会面	召集、聚集、會面	triệu tập, tập hợp, gặp gỡ	хуралдах, цугларах, уулзах	เพื่อประชุม, รวบรวม, พบปะ	untuk bersidang, untuk berkumpul, untuk bertemu	untuk bersidang, berkumpul, bertemu	बुलाना, इकट्ठा करना, मिलना	گردهم آمدن، گرد آمدن، ملاقات کردن	भेला गर्न, भेला गर्न, भेट्न	بلانا، جمع کرنا، ملنا	toplanmak, toplanmak, buluşmak	לכנס, להתכנס, להיפגש	للاجتماع، للتجمع، للالتقاء	zusammenkommen, zusammenkommen, sich treffen	convocar, reunir, reunirse	convocare, riunire, riunirsi	convocar, reunir, reunir	созвать, собраться, встретиться	zwoływać, gromadzić się, spotykać
tono	a tone	음질, 음색, 울림, 말투, 말씨	un ton	音質、音色、響き、口調、言葉	一个音调	一個音調	một giai điệu	өнгө аяс	โทนเสียง	satu nada	sebuah nada	एक स्वर	یک لحن	एक स्वर	ایک لہجہ	bir ton	טון	نغمة	ein Ton	un tono	un tono	um tom	тон	ton
plata	flat	평탄한	plat	平らな	平坦的	平坦的	phẳng	хавтгай	แบน	rata	datar	समतल	تخت	समतल	فلیٹ	düz	שָׁטוּחַ	مستوي	Wohnung	departamento	Piatto	plano	плоский	płaski
ekskursi	to excurse, to go on a picnic, to jaunt	짧은 여행 가다, 소풍 가다	faire une excursion, faire un pique-nique, faire une escapade	短い旅行に行く、ピクニックに行く	短途旅行、去野餐、短跑	短途旅行、去野餐、短跑	đi dạo, đi dã ngoại, đi chơi	зугаалах, зугаалах, зугаалах	ไปเที่ยว, ไปปิกนิก, ไปเที่ยว	untuk bersiar-siar, untuk pergi berkelah, untuk bersiar-siar	bertamasya, pergi piknik, bertamasya	भ्रमण करना, पिकनिक पर जाना, मौज-मस्ती करना	گردش، رفتن به پیک نیک، گردش	घुमफिर गर्न, पिकनिकमा जान, यात्रा गर्न	سیر کرنا، پکنک پر جانا، سفر کرنا	affetmek, pikniğe gitmek, gezmek	לטייל, לצאת לפיקניק, לטייל	في رحلة، للذهاب في نزهة، في رحلة قصيرة	einen Ausflug machen, ein Picknick machen, einen Ausflug machen	hacer una excursión, ir de picnic, pasear	fare una gita, fare un picnic, fare una gita	fazer uma excursão, fazer um piquenique, passear	совершить экскурсию, отправиться на пикник, прогуляться	wybrać się na wycieczkę, na piknik, na jaunting
ripari	to repair, to fix	수리하다	réparer, réparer	修理する	修理，修复	修理，修復	sửa chữa, sửa chữa	засах, засах	ซ่อมแซมเพื่อแก้ไข	untuk membaiki, untuk membaiki	untuk memperbaiki, untuk memperbaiki	मरम्मत करना, ठीक करना	تعمیر کردن، تعمیر کردن	मर्मत गर्न, ठीक गर्न	مرمت کرنا، ٹھیک کرنا	tamir etmek, düzeltmek	לתקן, לתקן	لإصلاح، لإصلاح	reparieren, reparieren	reparar, arreglar	riparare, sistemare	reparar, consertar	ремонтировать, чинить	naprawić, naprawić
dramo	a drama	연극, 각본, 희곡	un drame	演劇、脚本、戯曲	一部戏剧	一部戲劇	một vở kịch	жүжиг	ละคร	sebuah drama	sebuah drama	एक नाटक	یک درام	एक नाटक	ایک ڈرامہ	bir drama	דרמה	دراما	ein Drama	una drama	un dramma	um drama	драма	dramat
sovaĝa	savage, wild	야생의, 미개한, 야만의	sauvage, sauvage	野生の、未開、野蛮	野蛮的，狂野的	野蠻的，狂野的	man rợ, hoang dã	зэрлэг, зэрлэг	ดุร้ายดุร้าย	buas, liar	liar, liar	जंगली, जंगली	وحشی، وحشی	जंगली, जंगली	وحشی، جنگلی	vahşi, vahşi	פראי, פראי	وحشية، البرية	wild, wild	salvaje, salvaje	selvaggio, selvaggio	selvagem, selvagem	дикий, дикий	dziki, dziki
