eo	en-us	ko-kr	fr	ja-jp	zh-cn	zh-tw	vi-vn
bedaŭras kaj bedaŭrindas	feels sorry and is pityful (worth feeling sorry)	애석해 한다 그리고 애석해 할만하다	se sent désolé et a pitié (ça vaut la peine d'être désolé)	嘆かわしい そして嘆かわしいに値する	感到遗憾和可怜（值得感到遗憾）	感到遺憾和可憐（值得感到遺憾）	cảm thấy có lỗi và đáng tiếc (đáng cảm thấy có lỗi)
bedaŭrinde mi ne aĉetos	unfortunately I will not buy	아쉽게도 나는 사지 않을 것입니다	malheureusement je n'achèterai pas	残念ながら私は買わないでしょう	不幸的是我不会买	不幸的是我不會買	tiếc là tôi sẽ không mua
estas bedaŭrinda afero	is an unfortunate thing	애석해 할만한  일이다	c'est une chose malheureuse	悲しむに値することだ	是一件不幸的事	是一件不幸的事	là một điều đáng tiếc
li aĉetis novan aŭton	he bought a new car	그는 새 자동차를 샀다	il a acheté une nouvelle voiture	彼は新しい車を買った	他买了一辆新车	他買了一輛新車	anh ấy đã mua một chiếc xe mới
ĉar mi ne havas monon	because I do not have money	왜냐하면 나는 돈이 없기 때문에	parce que je n'ai pas d'argent	なぜなら私はお金がないからです	因为我没有钱	因為我沒有錢	bởi vì tôi không có tiền
mia malnova aŭto	my old car	나의 오래된 자동차	ma vieille voiture	私の古い車	我的旧车	我的舊車	chiếc xe cũ của tôi
la plej malmultekosta el ĉiuj	the cheapest of all	모든 것들 중에서 가장 싼 것	le moins cher de tous	すべてのものの中で最も安いもの	最便宜的	最便宜的	rẻ nhất trong tất cả
mi veturos tien	I'll drive there	나는 거기에 자를 타고 갈 것이다	je vais y conduire	私はそこにザルに乗るつもりです	我会开车去那里	我會開車去那裡	Tôi sẽ lái xe tới đó
ankoraŭ veturos per ĝi	will still drive with it	여전히 그것을 몰 것이다	je conduirai toujours avec	私はまだそれを運転します	仍会驾驶它	仍會駕駛它	vẫn sẽ lái xe với nó
dum la tuta tago	all day long	하루 종일	toute la journée	一日中	整天	整天	suốt cả ngày
dum li diris tion	while he said that	그가 그것을 말하는 동안	pendant qu'il disait ça	彼がそれを言っている間	当他这么说的时候	當他這麼說的時候	trong khi anh ấy nói điều đó
li denove rigardis ŝin	he looked at her again	그는 다시 그녀를 보았다	il la regarda à nouveau	彼は再び彼女を見ました	他又看了她一眼	他又看了她一眼	anh ấy nhìn cô ấy lần nữa
sed la vendisto diris	but the salesman said	그러나 그 판매원은 말했다	mais le vendeur a dit	しかし、セールスマンは言った	但推销员说	但推銷員說	nhưng người bán hàng nói
estus pli bone, ke ~	it would be better that ~	~하는 것이 더 좋을 것 같다	ce serait mieux que ~	~した方がいいと思います	那就更好了~	那就更好了~	sẽ tốt hơn đó~
rigardu tiun ĉi sinjorinon	look at this lady	이 숙녀를 보아라	regarde cette dame	この女性を見てください	看看这位女士	看看這位女士	nhìn người phụ nữ này
ankaŭ tio estas tre multekosta	that is also very expensive	그것 역시 매우 비싸다	c'est aussi très cher	それも非常に高価です	那也很贵	那也很貴	cái đó cũng rất đắt
mi estas ŝia edzo	I am her husband	나는 그녀의 남편이다	je suis son mari	私は彼女の夫です	我是她丈夫	我是她丈夫	tôi là chồng cô ấy
kiom via vojaĝo kostis?	how much did your trip cost?	당신의 여행의 비용이 얼마나 되었나요?	combien a coûté ton voyage ?	あなたの旅行の費用はいくらでしたか？	你的旅行花了多少钱？	你的旅行花了多少錢？	chuyến đi của bạn tốn bao nhiêu tiền?
aŭskultu la kanton de via edzino	listen to your wife's song	당신의 아내의 노래를 들으세요	écoute la chanson de ta femme	あなたの妻の歌を聞いてください	听你妻子的歌	聽你妻子的歌	nghe bài hát của vợ bạn
ne forgesu, ke ĝi tre multe kostas	don’t forget that it costs a lot	그게 매우 비용이 높다는 것을 잊지 마세요	n'oublie pas que ça coûte cher	それが非常に高価であることを忘れないでください	别忘了这要花很多钱	別忘了這要花很多錢	đừng quên rằng nó tốn rất nhiều tiền
li helpis la vendiston dum du horoj	he helped the salesman for two hours	그는2시간 동안 그 판매원을 도왔다	il a aidé le vendeur pendant deux heures	彼は2時間そのセールスマンを助けました	他帮助推销员两个小时	他幫忙推銷員兩個小時	anh ấy đã giúp đỡ người bán hàng trong hai giờ
jam pli ol tri jaroj	for more than three years	이미 3년도 넘게	depuis plus de trois ans	すでに3年以上	三年多	三年多	trong hơn ba năm
kovri, kovrilo, malkovri	cover, cover, uncover (discover)	덮다, 덮개/뚜껑, 들춰내다/밝혀내다	couvrir, couvrir, découvrir (découvrir)	覆う, 覆う/蓋をする, 掘り起こす/明らかにする	覆盖，覆盖，揭开（发现）	覆蓋，覆蓋，揭開（發現）	che, che, khám phá (khám phá)
la kialon li ankoraŭ ne malkovris	the reason he has not yet discovered	그 이유를 그는 아직 밝혀내지 못했다	la raison qu'il n'a pas encore découverte	その理由を彼はまだ明らかにしていない	他还没有发现的原因	他還沒有發現的原因	lý do anh vẫn chưa phát hiện ra
kial vi komencis sendi leterojn?	why did you start sending letters?	당신은 왜 편지들을 보내기 시작했습니까?	pourquoi as-tu commencé à envoyer des lettres ?	なぜあなたは手紙を送り始めたのですか？	你为什么开始寄信？	為什麼開始寄信？	tại sao bạn bắt đầu gửi thư?
dum ok monatoj li vivis tie	for eight months he lived there	8개월 동안 그는 거기에서 살았다	il y a vécu huit mois	8ヶ月間、彼はそこに住んでいた	他在那里住了八个月	他在那裡住了八個月	trong tám tháng anh ấy đã sống ở đó
ne havis tempon por aŭskulti	didn't have time to listen	들을 시간이 없었다	je n'ai pas eu le temps d'écouter	聞く時間がなかった	没时间听	沒時間聽	không có thời gian để nghe
la aŭto estis jam plena	the car was already full	그 차는 이미 꽉 차 있었다	la voiture était déjà pleine	その車はすでに満杯だった	车已经满了	車子已經滿了	chiếc xe đã đầy rồi
kion vi manĝas?	what are you eating	당신은 무엇을 먹는가?	Qu'est-ce que tu manges	あなたは何を食べますか？	你在吃什么	你在吃什麼	Bạn đang ăn gì vậy
kia estas la vetero?	what's the weather like?	날씨가 어떠한가?	Quel temps fait-il?	天気はどうですか？	天气如何？	天氣如何？	thời tiết như thế nào?
kian aŭton vi havas?	what kind of car do you have?	어떤 자동차를 당신은 가지고 있는가?	quel type de voiture avez-vous?	どんな車を持っていますか？	你有什么类型的车？	你有什麼類型的車？	bạn có những loại xe nào?
kiaj estis ŝiaj leteroj?	what were her letters like?	그녀의 편지들이 어떠했는가?	comment étaient ses lettres ?	彼女の手紙はどうだったか？	她的信是什么样的？	她的信是什麼樣的？	những lá thư của cô ấy như thế nào?
kie ni estas?	where are we?	우리는 어디에 있는가?	Où sommes-nous?	私たちはどこにいるのか？	我们在哪里？	我們在哪裡？	chúng ta ở đâu?
kien vi iras?	where are you going to?	당신은 어디를 향해 가는가?	Où vas-tu?	あなたはどこへ向かっていますか？	你去哪儿？	你去哪裡？	bạn đang đi đâu vậy?
al kiu vi donis ĝin?	to whom did you give it?	누구에게 당신은 그것을 줬는가?	à qui l'as-tu donné ?	誰にあなたはそれを与えましたか？	你把它给了谁？	你把它給了誰？	bạn đã đưa nó cho ai?
la viro, kun kiu vi vojaĝis	the man whom you traveled with	당신이 같이 여행했던 그 남자	l'homme avec qui tu as voyagé	あなたが一緒に旅行したあの男	和你一起旅行的男人	和你一起旅行的男人	người đàn ông đi cùng bạn
pli granda ol la aŭto	bigger than the car	그 자동차보다 더 큰	plus gros que la voiture	あの車より大きい	比汽车大	比汽車大	to hơn ô tô
la plej alta el tiuj homoj	the tallest of those people	그 사람들 중에서 가장 키가 큰	le plus grand de ces gens	それらの人々の中で最も背が高い	这些人中最高的	這些人中最高的	người cao nhất trong số những người đó
li sidis dum la manĝo	he was sitting at dinner	그는 그 식사 중에 앉아 있었다	il était assis à dîner	彼はその食事の間に座っていた	他正坐着吃晚饭	他正坐著吃晚餐	anh ấy đang ngồi ăn tối
ŝi skribas dum li legas	she writes while he reads	그가 읽고 있는 동안 그녀는 쓴다	elle écrit pendant qu'il lit	彼が読んでいる間、彼女は書いている	他读书时她写作	他讀書時她寫作	cô ấy viết trong khi anh ấy đọc
ĉi tie, en ĉi tiu ĉambro	here, in this room	여기에, 이 방안에서	ici, dans cette pièce	ここに、この部屋で	在这里，在这个房间里	在這裡，在這個房間裡	ở đây, trong căn phòng này
tiu ĉi sinjoro	this gentleman	이 신사분	ce monsieur	この紳士	这位先生	這位先生	quý ông này
aŭskultinda novaĵo	a news worth listening	들어볼 만한 뉴스	une nouvelle qui mérite d'être écoutée	聞くべきニュース	值得一听的新闻	值得一聽的新聞	một tin tức đáng nghe
la libro estas vere leginda	the book is really worth reading	그 책은 진짜 읽을 만하다	le livre vaut vraiment la peine d'être lu	その本は本当に読む価値がある	这本书确实值得一读	這本書確實值得一讀	cuốn sách thực sự đáng đọc
bedaŭra afero	an unfortunate thing	걱정스러운 일	une chose malheureuse	心配なこと	一件不幸的事	一件不幸的事	một điều không may
bedaŭrinde, mi ne povas	unfortunately, I can't	불행히도, 나는 할 수 없어요	malheureusement, je ne peux pas	残念ながら、私はできません	不幸的是，我不能	不幸的是，我不能	Thật không may, tôi không thể
nedankinde. estis mia plezuro	you are welcome. it was my pleasure	천만에요. 저의 즐거움이었습니다	je vous en prie. le plaisir était pour moi	どういたしまして、私の楽しみでした	不客气。这是我的荣幸	不客氣。這是我的榮幸	Không có gì. đó là niềm vui của tôi
eta belulino ege belas	small pretty girl is very beautiful	작은 미인은 매우 아름답다	petite jolie fille est très belle	小さな美女はとても美しいです	小美女很漂亮	小美女很漂亮	cô gái nhỏ xinh rất xinh đẹp
ĉiuj amikoj amas ŝin	all friends love her	모든 친구들은 그녀를 사랑한다	tous les amis l'aiment	すべての友達は彼女を愛しています	所有的朋友都爱她	所有的朋友都愛她	tất cả bạn bè đều yêu mến cô ấy
antaŭ tri monatoj	three months ago	3개월 전에	il ya trois mois	3ヶ月前	三个月前	三個月前	ba tháng trước
okazis malbono al ŝi	something bad happened to her	그녀에게 안 좋은 것이 발생했다	quelque chose de grave lui est arrivé	彼女に悪いことが起こった	她发生了一些不好的事	她發生了一些不好的事	có điều gì đó tồi tệ đã xảy ra với cô ấy
ŝi falis pro aŭto	she fell because of a car	자동차 때문에 그녀가 넘어졌다	elle est tombée à cause d'une voiture	車が彼女を転倒させた	她因为汽车摔倒了	她因為汽車跌倒了	cô ấy bị ngã vì một chiếc ô tô
